Date,Open,High,Low,Close,Volume
2018-01-02,39.85008766691489,40.351258103264755,39.63931284929152,40.341888427734375,102223600
2018-01-03,40.40512002581769,40.87818856844172,40.27163252810483,40.334861755371094,118071600
2018-01-04,40.407457696409296,40.62525796148265,40.29973145330602,40.522212982177734,89738400
2018-01-05,40.618242759257555,41.0702314004302,40.526908063329756,40.98358154296875,94640000
2018-01-08,40.83134841918945,41.126428848864556,40.73298470248056,40.83134841918945,82271200
2018-01-09,40.8781826422092,40.997619183214475,40.61120411200408,40.82666015625,86336000
2018-01-10,40.55266829963054,40.81964690977428,40.51519673980712,40.81730270385742,95839600
2018-01-11,40.887563205251304,41.098338060589114,40.86414615920365,41.049156188964844,74670800
2018-01-12,41.25992605384564,41.53627434620208,41.13580463625278,41.47304153442383,101672400
2018-01-16,41.6627380333034,42.011685254549505,41.25056157127931,41.262271881103516,118263600
2018-01-17,41.252894884198874,41.97889108266515,40.99997081899453,41.943763732910156,137547200
2018-01-18,42.00700438820027,42.17796706613359,41.744710576062296,41.98124313354492,124773600
2018-01-19,41.82900781187855,42.056174199536976,41.54797829756957,41.793880462646484,129700400
2018-01-22,41.52222743625049,41.634638555394616,41.35829380968925,41.451969146728516,108434400
2018-01-23,41.522222591926244,42.023393090934235,41.40981148589692,41.46133041381836,130756400
2018-01-24,41.510508202321624,41.52221851030546,40.5620304313799,40.800907135009766,204420400
2018-01-25,40.86881783456247,40.97186281875041,39.93673528633479,40.072566986083984,166116000
2018-01-26,40.28100362995669,40.28100362995669,39.82667080795431,40.1662483215332,156572000
2018-01-29,39.85007920746292,39.85007920746292,39.12642737292119,39.33485794067383,202561600
2018-01-30,38.76579417022853,39.19670651140329,38.571414418033406,39.103031158447266,184192800
2018-01-31,39.07959227348799,39.44727518768578,38.99294243381661,39.21073913574219,129915600
2018-02-01,39.149852175352834,39.48942965217391,39.05383265666675,39.29270935058594,188923200
2018-02-02,38.8758544921875,39.063208722509444,37.49412374384701,37.587799072265625,346375200
2018-02-05,37.25992247449914,38.37935916282286,36.53392635472329,36.648681640625,290954000
2018-02-06,36.259921731587134,38.341886972498564,36.065542082454556,38.180294036865234,272975200
2018-02-07,38.19435027749091,38.266949183640655,37.252901556247814,37.36296844482422,206434400
2018-02-08,37.53860764381872,37.70488541893073,36.30675987869789,36.334861755371094,217562000
2018-02-09,36.934494560946916,37.127312992655,35.328442140260165,36.779296875,282690400
2018-02-12,37.27074644509429,38.53818682737063,37.03794995477904,38.26071548461914,243278000
2018-02-13,38.08200439585714,38.740415822437974,38.0114596737139,38.644004821777344,130196800
2018-02-14,38.338316878401834,39.396477041902536,38.3006961328428,39.356502532958984,162579600
2018-02-15,39.92555581137809,40.70154062338429,39.73979150085741,40.67802810668945,204588800
2018-02-16,40.52988635346286,41.10834882844967,40.3911506581798,40.54634475708008,160704400
2018-02-20,40.45698268440411,40.976654782310895,40.308839143672124,40.40995407104492,135722000
2018-02-21,40.64041184476822,40.94374956316199,40.21244305212163,40.22655487060547,149886400
2018-02-22,40.39820320572218,40.90376716834371,40.377040864154694,40.56280517578125,123967600
2018-02-23,40.83792303213014,41.30351244871162,40.807352815892024,41.26824188232422,135249600
2018-02-26,41.46811865630413,42.18296298826137,41.43519826446505,42.08420181274414,152648800
